God,Steroid 1 Name,0,Steroid 2 Name,0,Special1,Special Base Damage,Cast Type,PreCast,Postcast,Duration,Special2,Special Base Damage,Cast Type,PreCast,Postcast,Duration,Special3,Special Base Damage,Cast Type,PreCast,Postcast,Duration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ares,Blessed Presence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.290213984,0.282958635,0.290213984,0.483689974,0.290213984,0.282958635,0.290213984,0.483689974,1,0.75,1,1.25,1,0.75,1,1.25,1,0.75,1,1.25,1,0.75,1,1.25,
Artemis,Enable Vengeful Assault,Disable Vengeful Assault,Max still target,No still target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Athena,0,0,0,0,Reach,79.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857,0.25,0.25,0.490608524,0.25,0.25,0.490608524,0.25,0.25,1,1,1.5,1,1,1.5,1,1,1,1,1.5,1,1,1.5,1,1,
Awilix,Enable Initiative,Disable Initiative,Enable Gravity Surge,Disable Gravity Surge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.483689974,0.241844987,0.483689974,0.483689974,0.241844987,0.483689974,0.483689974,0.241844987,1,0.75,1.25,1,0.75,1.25,1,0.75,1,0.75,1.25,1,0.75,1.25,1,0.75,Feather step first after 0 1 or 2 autos?
Bacchus,You're smashed!,You're tipsy,Enable Intoxicate Steroid,Disable Intoxicate Steroid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Bakasura,Enable Butcher Blades,Disable Butcher Blades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.135433193,0.135433193,0.135433193,0.135433193,0.135433193,0.135433193,0.135433193,0.135433193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Regurgitate minions? 0-6
Bastet,0,0,0,0,Pounce (open wounds),431.25,Instant,0.15,1,0,Razor Whip (open wounds),523.25,Instant,0.35,0.4,0,Declaw (open wounds),350.75,Instant,0.3,0.1,0,0,0,0,0,1,0.435320977,0.241844987,0.483689974,0.435320977,0.241844987,0.483689974,0.435320977,0.241844987,1,0.7,1.3,1,0.7,1.3,1,0.7,1,0.7,1.3,1,0.7,1.3,1,0.7,
Bellona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sword and Shield,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,0.5,1,1,0.5,1,1,0.5,1,0.5,1,1,0.5,1,1,0.5,Bludgeon gods hit? 0-5
Cabrakan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.483689974,0.483689974,0.483689974,0.483689974,0.483689974,0.483689974,0.483689974,0.483689974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Tremors duration?
Chaac,0,0,0,0,Thunder Torrent,474.5,Instant,0.14,0.86,0,Thunder Call,542,Instant,1.25,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0.483689974,0.234119058,0.468238116,0.483689974,0.234119058,0.468238116,0.483689974,0.234119058,1,0.5,1.5,1,0.5,1.5,1,0.5,1,0.5,1.5,1,0.5,1.5,1,0.5,
Chang'e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Chiron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Chronos,Magic Power Wheel of Time,Auto Attack Wheel of Time,Enable Accelerate,Disable Accelerate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Cupid,Enable Flutter,Disable Flutter,0,0,Lovestruck Heart Bomb,444.28,Instant,0,0.1,0,Lovestruck Fields of Love,667,Instant,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Fenrir,Rune Howl,Seething Howl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.135433193,0.135433193,0.135433193,0.135433193,0.135433193,0.135433193,0.135433193,0.135433193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Freya,Enable Irradiate,Disable Irradiate,Enable Pulse,Disable Pulse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Geb,0,0,0,0,Instant Rollout,208.75,Instant,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.222497388,0.251518787,0.348256781,0.444994776,0.222497388,0.251518787,0.348256781,0.444994776,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Guan Yu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.290213984,0.28094287,0.37727818,0.512767742,0.290213984,0.28094287,0.37727818,0.512767742,1,1,1.3,1.75,1,1,1.3,1.75,1,1,1.3,1.75,1,1,1.3,1.75,
Hades,0,0,0,0,Blighted Devour Souls,259.5,Instant,0.49,0.1,0,Blighted Pillar of Agony,924,Channel,0.4,0.1,4,0,0,0,0,0,0,0,0,0,0,1,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Number of Blight to detonate?
He Bo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Steady Flow Stacks? 1-3
Hel,Full Dark Stance Charge,Full Light Stance Charge,Light Stance,Dark Stance,Decay,317.5,Instant,0.3,0.1,0,Repulse,346.5,Instant,0.55,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Hercules,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857,0.23,0.23,0.36,0.23,0.23,0.36,0.23,0.23,1,1,1.5,1,1,1.5,1,1,1,1,1.5,1,1,1.5,1,1,
Hou Yi,Enabled Mark of the Golden Crow,Disabled Mark of the Golden Crow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Hun Batz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.197109469,0.261440235,0.197109469,0.197109469,0.261440235,0.197109469,0.197109469,0.261440235,1,0.75,1.25,1,0.75,1.25,1,0.75,1,0.75,1.25,1,0.75,1.25,1,0.75,
Isis,0,0,0,0,Max range spirit ball,381.75,Instant,0.2,0.1,0,Max Charge Circle of Protection,1181.25,Instant,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.857142857,0.25,0.25,0.375,0.25,0.25,0.375,0.25,0.25,1,1,1.5,1,1,1.5,1,1,1,1,1.5,1,1,1.5,1,1,
Janus,0,0,0,0,Passages,8.75,Instant,0,0,0,Double Vortex,460.85,Instant,0.3,0.1,0,Hail Mary Through Space and Time,670,Instant,1.5,0.3,0,0,0,0,0,1,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Kali,Enable Marked for Death,Disable Marked for Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.241844987,0.241844987,0.241844987,0.241844987,0.241844987,0.241844987,0.241844987,0.241844987,1,0.5,0.5,1,0.5,0.5,1,0.5,1,0.5,0.5,1,0.5,0.5,1,0.5,
Khepri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Kukulkan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57.75
Kumbhakarna,0,0,0,0,Throw Back Minion,391,Instant,0.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.532058971,0.19347599,0.580427969,0.532058971,0.19347599,0.580427969,0.532058971,0.19347599,1,0.75,1.25,1,0.75,1.25,1,0.75,1,0.75,1.25,1,0.75,1.25,1,0.75,
Loki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0.25,0.15,0.15,0.15,0.45,0.25,0.15,0.15,1,0.5,0.5,0.5,1.5,1,0.5,0.5,1,0.5,0.5,0.5,1.5,1,0.5,0.5,
Medusa,Enable Viper Shot,Disable Viper Shot,0,0,Rear Hit Petrify,367.5,Instant,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Mercury,Enable Fastest God Alive,Disable Fastest God Alive,Enable Maximum Velocity,Disable Maximum Velocity,Crit Made You Look,450,Instant,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.483689974,0.241844987,0.483689974,0.483689974,0.241844987,0.483689974,0.483689974,0.241844987,1,0.75,1.25,1,0.75,1.25,1,0.75,1,0.75,1.25,1,0.75,1.25,1,0.75,11.25
Ne Zha,Enable Flaming Spear,Disable Flaming Spear,0,0,Crit Armillary Sash,450,Instant,0.2,0.6,0,Crit Ult,1151,Channel,0,0.3,1,0,0,0,0,0,0,0,0,0,0,0.727272727,0.25,0.25,0.4,0.5,0.25,0.25,0.4,0.5,1,1,1.5,2,1,1,1.5,2,1,1,1.5,2,1,1,1.5,2,1-4 Ring Hits on Target
Neith,0,0,0,0,Quick World Weaver,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Nemesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.232171188,0.232171188,0.145106992,0.638470766,0.232171188,0.232171188,0.145106992,0.638470766,1,1,0.75,1.25,1,1,0.75,1.25,1,1,0.75,1.25,1,1,0.75,1.25,
Nox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Flame of Night Stacks? 0-4
Nu Wa,0,0,0,0,Shining Metal Pop,285,Instant,0.2,0.1,0,Clay Soldiers Triple Hit,210,Instant,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Soldiers Popped 1-3
Odin,0,0,0,0,Full Raven Shout,526.25,Instant,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,0.3,0.3,0.3,0.45,0.3,0.3,0.3,0.45,1,1,1,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,1.5,AllFather Stacks 0-10
Osiris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0.241844987,0.241844987,0.241844987,0.241844987,0.241844987,0.241844987,0.241844987,0.241844987,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5,
Poseidon,Enable Trident,Disable Trident,0,0,Full Tide Kraken,649.8,Instant,0,0.3,0,Full Tide Whirlpool,433.8,Instant,0,0.3,0,Full Tidal Surge,341.4,Instant,0.2,0.1,0,0,0,0,0,1,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Ra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Rama,Enable Astral Strike,Disable Astral Strike,Enable Pick Me Up,Disable Pick Me Up,Astral Barrage 1,310.5,Instant,0.25,0,0,Astral Barrage 2,465.75,Instant,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Ratatoskr,Sapphire Acorn,Opal Acorn,0,0,Sapphire Blast,491,Instant,0.3,0.1,0,Opal Dash,533.25,Instant,0.15,0.15,0,Opal Crit,673,Instant,0.15,0.15,0,0,0,0,0,1.230769231,0.241844987,0.241844987,0.241844987,0.483689974,0.241844987,0.241844987,0.241844987,0.483689974,1,0.5,0.5,1.25,1,0.5,0.5,1.25,1,0.5,0.5,1.25,1,0.5,0.5,1.25,
Ravana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.75,0.5,1.25,0.75,0.5,1.25,0.75,0.5,0.75,0.5,1.25,0.75,0.5,1.25,0.75,0.5,
Scylla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Serqet,Double Catalyst,Triple Catalyst,0,0,Deathbane Crit,0,Instant,0.6,0,0,Catalyst,218,Instant,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.483689974,0.241844987,0.483689974,0.483689974,0.241844987,0.483689974,0.483689974,0.241844987,1,0.75,1.25,1,0.75,1.25,1,0.75,1,0.75,1.25,1,0.75,1.25,1,0.75,Deathbane hits 1-3
Sobek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Sol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Unstable Manifestation Stacks
Sun Wukong,Enable Undefeated Body,Disable Undefeated Body,0,0,Ox Transform,231,Instant,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.435320977,0.19347599,0.290213984,0.725534961,0.435320977,0.19347599,0.290213984,0.725534961,1,0.75,1,1.25,1,0.75,1,1.25,1,0.75,1,1.25,1,0.75,1,1.25,
Sylvanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Thanatos,Enable Scent of Death,Disable Scent of Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.241844987,0.1875,0.544151221,0.241844987,0.1875,0.544151221,0.241844987,0.1875,1,0.5,1.5,1,0.5,1.5,1,0.5,1,0.5,1.5,1,0.5,1.5,1,0.5,
Thor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Warrior's Madness Stacks 1-3
Tyr,Assault Stance,Defense Stance,0,0,Defense Fearless,257.5,Instant,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.483689974,0.241844987,0.483689974,0.483689974,0.241844987,0.483689974,0.483689974,0.241844987,1,0.5,1.5,1,0.5,1.5,1,0.5,1,0.5,1.5,1,0.5,1.5,1,0.5,
Ullr,Enable Expose Weakness,Disable Expose Weakness,Axe Stance,Bow Stance,Thrown Axe,201,instant,0.4,0.1,0,Glory Bound,217.5,Instant,0.3,0.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Vamana,Enable Colossal Fury,Disable Colossal Fury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Vulcan,Enable Inferno Mark,Disable Inferno Mark,0,0,Inferno Shot,157.25,Instant,0,0,0,Earthshaker (Far),925.5,Instant,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Xbalanque,Enable Branching Bola,Disable Branching Bola,0,0,Poison Jaguar,344.4,Instant,0.27,1.5,0,Point Blank Darts,353,Instant,0.38,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Dead of Night Stacks 1-6
Xing Tian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.483689974,0.483689974,0.483689974,0.483689974,0.483689974,0.483689974,0.483689974,0.483689974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Ymir,Enable Frostbite,Disable Frostbite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Zeus,Enable Overcharge,Disable Overcharge,0,0,Aegis Assault (Inhand,50,Instant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Chain Lightning Bounces
Zhong Kui,Enable Book of Demons,Disable Book of Demons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
